area_sqft,bhk,property_type,lat,lon,price_inr
1170,2,Apartment,23.1010002,72.5408363,6500000.0
917,3,Apartment,23.1153559,72.5366513,8199999.999999999
1650,3,Apartment,23.1123884,72.5515273,8500000.0
650,1,Apartment,23.0069372,72.5208415,3100000.0
1592,3,Apartment,23.1010002,72.5408363,8484000.0
1800,3,Apartment,23.1010002,72.5408363,9797000.0
1810,4,Apartment,23.0107147,72.4429208,22500000.0
2211,3,Apartment,23.1109557,72.5539974,12000000.0
1265,2,Apartment,23.1109557,72.5539974,6500000.0
1122,3,Apartment,23.1010002,72.5408363,14000000.0
699,2,Apartment,23.0069624,72.5440056,6500000.0
1053,2,Apartment,22.9729765,72.5895984,2350000.0
1700,3,Apartment,23.0232163,72.4708784,7600000.0
2808,4,Apartment,22.9977135,72.6067174,37500000.0
1999,3,Apartment,23.006527,72.583296,19000000.0
1413,2,Apartment,23.1010002,72.5408363,6949999.999999999
1350,2,Apartment,23.0975425,72.547552,6800000.000000001
1089,5,Villa,23.0063315,72.536517,16500000.0
1512,3,Apartment,23.1010002,72.5408363,8500000.0
697,2,Apartment,23.1360943,72.5425805,7000000.0
1260,2,Apartment,23.1654228,72.8180267,12500000.0
2300,4,Apartment,22.9945745,72.467571,16500000.0
4230,4,Villa,23.0215374,72.5800568,64000000.0
1550,3,Apartment,23.2145657,72.6856816,7200000.0
2050,3,Apartment,23.0000258,72.5051405,15000000.0
729,1,Apartment,23.0901711,72.6504536,3600000.0
1936,3,Apartment,23.081994,72.5519258,14500000.0
1770,3,Apartment,23.0232163,72.4708784,7500000.0
3915,4,Apartment,23.0176555,72.5180484,48900000.0
1250,2,Apartment,23.062275,72.571217,9000000.0
1905,3,Apartment,23.0232163,72.4708784,12000000.0
1890,3,Apartment,23.0232163,72.4708784,10500000.0
3291,4,Apartment,23.0012666,72.5877721,20500000.0
2778,3,Apartment,23.0215374,72.5800568,18500000.0
2835,4,Apartment,23.1010002,72.5408363,18000000.0
1270,2,Apartment,23.081994,72.5519258,6711000.0
2141,3,Apartment,23.1010002,72.5408363,13500000.0
1800,3,Apartment,23.1153559,72.5366513,9050000.0
1737,3,Apartment,23.1010002,72.5408363,10500000.0
2250,3,Apartment,23.1008171,72.4946672,11100000.000000002
2382,3,Apartment,23.2145657,72.6856816,14000000.0
1630,3,Apartment,23.0232163,72.4708784,8300000.0
1750,3,Apartment,23.0544372,72.4720756,10000000.0
1413,2,Apartment,23.1010002,72.5408363,6850000.000000001
1800,3,Apartment,23.011445,72.5864365,13500000.0
1760,3,Apartment,23.0544372,72.4720756,9500000.0
2460,4,Apartment,23.0107147,72.4429208,15000000.0
1440,3,Apartment,23.0154354,72.4680379,7500000.0
4508,5,Apartment,23.0107147,72.4429208,37500000.0
1215,2,Apartment,23.0866321,72.6148095,6000000.0
3291,4,Apartment,23.0215374,72.5800568,21500000.0
1490,3,Apartment,23.0172779,72.4709076,7300000.0
1621,3,Apartment,23.0069624,72.5440056,12400000.0
